Approval,Debt-to-Income Ratio,FICO Score,Request Amount,Interest
"F",0.000000,397,1000,450.000000
"F",0.000000,403,500,225.000000
"F",0.000000,408,1000,450.000000
"F",0.000000,408,2000,900.000000
"F",0.000000,411,5000,2250.000000
"F",0.000000,413,5000,2250.000000
"F",0.000000,416,6000,2700.000000
"F",0.000000,421,2000,900.000000
"F",0.000000,422,12000,5400.000000
"F",0.000000,432,10000,4500.000000
"F",0.000000,433,6000,2700.000000
"F",0.000000,434,1000,450.000000
"F",0.000000,434,19000,8550.000000
"F",0.000000,435,3000,1350.000000
"F",0.000000,436,6000,2700.000000
"F",0.000000,438,5000,2250.000000
"F",0.000000,439,1000,450.000000
"F",0.000000,440,3000,1350.000000
"F",0.000000,440,10000,4500.000000
"F",0.000000,442,1000,450.000000
"F",0.000000,447,2000,900.000000
"F",0.000000,448,1000,450.000000
"F",0.000000,448,5000,2250.000000
"F",0.000000,448,7000,3150.000000
"F",0.000000,449,2000,900.000000
"F",0.000000,450,24000,10800.000000
"F",0.000000,451,500,225.000000
"F",0.000000,451,2000,900.000000
"F",0.000000,452,1000,450.000000
"F",0.000000,452,9000,4050.000000
"F",0.000000,453,9000,4050.000000
"F",0.000000,454,1000,450.000000
"F",0.000000,454,3000,1350.000000
"F",0.000000,454,4000,1800.000000
"F",0.000000,454,10000,4500.000000
"F",0.000000,454,16000,7200.000000
"F",0.000000,455,11000,4950.000000
"F",0.000000,456,4000,1800.000000
"F",0.000000,456,22000,9900.000000
"F",0.000000,458,1000,450.000000
"F",0.000000,458,9000,4050.000000
"F",0.000000,459,1000,450.000000
"F",0.000000,459,33000,14850.000000
"F",0.000000,460,1000,450.000000
"F",0.000000,460,3000,1350.000000
"F",0.000000,461,4000,1800.000000
"F",0.000000,461,32000,14400.000000
"F",0.000000,462,1000,450.000000
"F",0.000000,462,2000,900.000000
"F",0.000000,462,4000,1800.000000
"F",0.000000,463,4000,1800.000000
"F",0.000000,464,500,225.000000
"F",0.000000,465,3000,1350.000000
"F",0.000000,465,4000,1800.000000
"F",0.000000,465,8000,3600.000000
"F",0.000000,465,17000,7650.000000
"F",0.000000,466,1000,450.000000
"F",0.000000,466,5000,2250.000000
"F",0.000000,466,35000,15750.000000
"F",0.000000,467,7000,3150.000000
"F",0.000000,468,7000,3150.000000
"F",0.000000,469,8000,3600.000000
"F",0.000000,470,500,225.000000
"F",0.000000,470,1000,450.000000
"F",0.000000,470,9000,4050.000000
"F",0.000000,471,4000,1800.000000
"F",0.000000,471,7000,3150.000000
"F",0.000000,471,11000,4950.000000
"F",0.000000,472,7000,3150.000000
"F",0.000000,472,14000,6300.000000
"F",0.000000,472,19000,8550.000000
"F",0.000000,473,10000,4500.000000
"F",0.000000,474,3000,1350.000000
"F",0.000000,475,7000,3150.000000
"F",0.000000,475,15000,6750.000000
"F",0.000000,476,3000,1350.000000
"F",0.000000,476,4000,1800.000000
"F",0.000000,476,6000,2700.000000
"F",0.000000,476,12000,5400.000000
"F",0.000000,477,5000,2250.000000
"F",0.000000,478,10000,4500.000000
"F",0.000000,479,5000,2250.000000
"F",0.000000,479,8000,3600.000000
"F",0.000000,480,2000,900.000000
"F",0.000000,480,3000,1350.000000
"F",0.000000,480,4000,1800.000000
"F",0.000000,481,5000,2250.000000
"F",0.000000,481,6000,2700.000000
"F",0.000000,482,6000,2700.000000
"F",0.000000,482,14000,6300.000000
"F",0.000000,482,23000,10350.000000
"F",0.000000,483,7000,3150.000000
"F",0.000000,484,2000,900.000000
"F",0.000000,484,3000,1350.000000
"F",0.000000,484,4000,1800.000000
"F",0.000000,484,4000,1800.000000
"F",0.000000,484,5000,2250.000000
"F",0.000000,484,8000,3600.000000
"F",0.000000,484,8000,3600.000000
"F",0.000000,484,8000,3600.000000
"F",0.000000,485,500,225.000000
"F",0.000000,485,1000,450.000000
"F",0.000000,485,1000,450.000000
"F",0.000000,485,1000,450.000000
"F",0.000000,485,5000,2250.000000
"F",0.000000,485,25000,11250.000000
"F",0.000000,486,5000,2250.000000
"F",0.000000,486,6000,2700.000000
"F",0.000000,487,5000,2250.000000
"F",0.000000,487,6000,2700.000000
"F",0.000000,487,11000,4950.000000
"F",0.000000,487,30000,13500.000000
"F",0.000000,488,2000,900.000000
"F",0.000000,488,34000,15300.000000
"F",0.000000,489,1000,450.000000
"F",0.000000,489,2000,900.000000
"F",0.000000,489,16000,7200.000000
"F",0.000000,490,1000,450.000000
"F",0.000000,490,1000,450.000000
"F",0.000000,490,2000,900.000000
"F",0.000000,490,13000,5850.000000
"F",0.000000,490,14000,6300.000000
"F",0.000000,491,2000,900.000000
"F",0.000000,491,13000,5850.000000
"F",0.000000,492,4000,1800.000000
"F",0.000000,492,8000,3600.000000
"F",0.000000,493,5000,2250.000000
"F",0.000000,493,6000,2700.000000
"F",0.000000,493,23000,10350.000000
"F",0.000000,493,29000,13050.000000
"F",0.000000,494,3000,1350.000000
"F",0.000000,494,3000,1350.000000
"F",0.000000,494,3000,1350.000000
"F",0.000000,494,11000,4950.000000
"F",0.000000,494,16000,7200.000000
"F",0.000000,495,500,225.000000
"F",0.000000,495,1000,450.000000
"F",0.000000,495,5000,2250.000000
"F",0.000000,495,11000,4950.000000
"F",0.000000,496,5000,2250.000000
"F",0.000000,496,6000,2700.000000
"F",0.000000,496,18000,8100.000000
"F",0.000000,497,3000,1350.000000
"F",0.000000,497,4000,1800.000000
"F",0.000000,497,5000,2250.000000
"F",0.000000,497,5000,2250.000000
"F",0.000000,497,7000,3150.000000
"F",0.000000,497,7000,3150.000000
"F",0.000000,498,1000,450.000000
"F",0.000000,498,1000,450.000000
"F",0.000000,498,3000,1350.000000
"F",0.000000,498,13000,5850.000000
"F",0.000000,498,13000,5850.000000
"F",0.000000,498,17000,7650.000000
"F",0.000000,499,1000,450.000000
"F",0.000000,499,1000,450.000000
"F",0.000000,499,1000,450.000000
"F",0.000000,499,3000,1350.000000
"F",0.000000,500,4000,1800.000000
"F",0.000000,500,5000,2250.000000
"F",0.000000,501,1000,450.000000
"F",0.000000,501,4000,1800.000000
"F",0.000000,501,5000,2250.000000
"F",0.000000,502,1000,450.000000
"F",0.000000,502,2000,900.000000
"F",0.000000,502,4000,1800.000000
"F",0.000000,502,8000,3600.000000
"F",0.000000,503,3000,1350.000000
"F",0.000000,504,3000,1350.000000
"F",0.000000,504,3000,1350.000000
"F",0.000000,504,14000,6300.000000
"F",0.000000,504,14000,6300.000000
"F",0.000000,505,500,225.000000
"F",0.000000,505,1000,450.000000
"F",0.000000,505,6000,2700.000000
"F",0.000000,506,3000,1350.000000
"F",0.000000,507,3000,1350.000000
"F",0.000000,508,1000,450.000000
"F",0.000000,508,14000,6300.000000
"F",0.000000,509,1000,450.000000
"F",0.000000,510,3000,1350.000000
"F",0.000000,510,4000,1800.000000
"F",0.000000,510,7000,3150.000000
"F",0.000000,510,9000,4050.000000
"F",0.000000,510,20000,9000.000000
"F",0.000000,511,4000,1800.000000
"F",0.000000,511,4000,1800.000000
"F",0.000000,511,6000,2700.000000
"F",0.000000,511,7000,3150.000000
"F",0.000000,511,7000,3150.000000
"F",0.000000,511,10000,4500.000000
"F",0.000000,512,2000,900.000000
"F",0.000000,512,2000,900.000000
"F",0.000000,512,8000,3600.000000
"F",0.000000,512,8000,3600.000000
"F",0.000000,512,34000,15300.000000
"F",0.000000,513,1000,450.000000
"F",0.000000,513,1000,450.000000
"F",0.000000,513,2000,900.000000
"F",0.000000,513,13000,5850.000000
"F",0.000000,513,16000,7200.000000
"F",0.000000,513,27000,12150.000000
"F",0.000000,513,34000,15300.000000
"F",0.000000,514,2000,900.000000
"F",0.000000,514,4000,1800.000000
"F",0.000000,514,5000,2250.000000
"F",0.000000,515,2000,900.000000
"F",0.000000,515,34000,15300.000000
"F",0.000000,516,1000,450.000000
"F",0.000000,516,2000,900.000000
"F",0.000000,516,9000,4050.000000
"F",0.000000,516,10000,4500.000000
"F",0.000000,517,500,225.000000
"F",0.000000,517,2000,900.000000
"F",0.000000,517,3000,1350.000000
"F",0.000000,517,4000,1800.000000
"F",0.000000,517,6000,2700.000000
"F",0.000000,517,6000,2700.000000
"F",0.000000,517,8000,3600.000000
"F",0.000000,518,500,225.000000
"F",0.000000,518,3000,1350.000000
"F",0.000000,520,5000,2250.000000
"F",0.000000,520,7000,3150.000000
"F",0.000000,520,8000,3600.000000
"F",0.000000,520,9000,4050.000000
"F",0.000000,520,11000,4950.000000
"F",0.000000,520,12000,5400.000000
"F",0.000000,520,15000,6750.000000
"F",0.000000,521,500,225.000000
"F",0.000000,521,9000,4050.000000
"F",0.000000,522,500,225.000000
"F",0.000000,522,1000,450.000000
"F",0.000000,522,2000,900.000000
"F",0.000000,522,7000,3150.000000
"F",0.000000,522,9000,4050.000000
"F",0.000000,523,11000,4950.000000
"F",0.000000,523,27000,12150.000000
"F",0.000000,524,5000,2250.000000
"F",0.000000,524,8000,3600.000000
"F",0.000000,524,25000,11250.000000
"F",0.000000,525,2000,900.000000
"F",0.000000,525,7000,3150.000000
"F",0.000000,525,12000,5400.000000
"F",0.000000,525,14000,6300.000000
"F",0.000000,526,1000,450.000000
"F",0.000000,526,20000,9000.000000
"F",0.000000,527,4000,1800.000000
"F",0.000000,527,6000,2700.000000
"F",0.000000,527,16000,7200.000000
"F",0.000000,528,2000,900.000000
"F",0.000000,528,8000,3600.000000
"F",0.000000,528,9000,4050.000000
"F",0.000000,528,13000,5850.000000
"F",0.000000,529,1000,450.000000
"F",0.000000,529,4000,1800.000000
"F",0.000000,529,5000,2250.000000
"F",0.000000,529,6000,2700.000000
"F",0.000000,529,11000,4950.000000
"F",0.000000,530,5000,2250.000000
"F",0.000000,530,8000,3600.000000
"F",0.000000,531,2000,900.000000
"F",0.000000,531,2000,900.000000
"F",0.000000,531,5000,2250.000000
"F",0.000000,531,9000,4050.000000
"F",0.000000,532,3000,1350.000000
"F",0.000000,532,7000,3150.000000
"F",0.000000,532,13000,5850.000000
"F",0.000000,533,500,225.000000
"F",0.000000,533,3000,1350.000000
"F",0.000000,533,7000,3150.000000
"F",0.000000,533,12000,5400.000000
"F",0.000000,534,2000,900.000000
"F",0.000000,534,3000,1350.000000
"F",0.000000,534,7000,3150.000000
"F",0.000000,534,15000,6750.000000
"F",0.000000,535,5000,2250.000000
"F",0.000000,535,8000,3600.000000
"F",0.000000,535,11000,4950.000000
"F",0.000000,535,13000,5850.000000
"F",0.000000,536,500,225.000000
"F",0.000000,536,3000,1350.000000
"F",0.000000,536,35000,15750.000000
"F",0.000000,537,4000,1800.000000
"F",0.000000,537,11000,4950.000000
"F",0.000000,537,11000,4950.000000
"F",0.000000,538,2000,900.000000
"F",0.000000,538,5000,2250.000000
"F",0.000000,538,6000,2700.000000
"F",0.000000,538,14000,6300.000000
"F",0.000000,539,2000,900.000000
"F",0.000000,539,8000,3600.000000
"F",0.000000,539,10000,4500.000000
"F",0.000000,539,23000,10350.000000
"F",0.000000,540,3000,1350.000000
"F",0.000000,540,7000,3150.000000
"F",0.000000,540,8000,3600.000000
"F",0.000000,541,3000,1350.000000
