type,quality,alcohol_z,chlorides_z,citric acid_z,density_z,fixed acidity_z,free sulfur dioxide_z,pH_z,residual sugar_z,sulphates_z,total sulfur dioxide_z,volatile acidity_z,Training
"red",6,-1.803605,0.492444,2.859794,2.176861,5.414948,-1.350250,-2.272635,-0.734234,1.691458,-1.750474,-0.196292,0.092412
"red",5,-1.719409,3.015140,0.414711,1.601295,2.133135,-0.176483,-0.461300,-0.779417,0.765336,-0.432238,0.221065,0.096324
"red",6,-1.551016,0.733979,1.161820,1.483408,0.759352,0.102985,0.725436,-0.553499,1.426852,-1.047415,0.459555,0.709422
"red",6,-1.298426,0.224072,-1.554939,0.807291,0.759352,-1.294357,0.600517,-0.621274,0.103820,-1.363791,3.917661,0.724583
"red",5,-1.298426,0.358258,1.773091,2.038170,4.651735,-0.847207,-1.023438,-0.711642,-0.293090,-1.311062,0.519178,0.152653
"red",3,-1.298426,0.465607,2.316442,2.176861,3.354274,-1.126676,0.163298,-0.643866,0.236123,-1.188027,1.413515,0.581449
"red",5,-1.298426,0.519281,-1.622858,1.136681,-0.156502,-1.238463,1.599874,-0.734234,-0.028483,-1.592286,1.652005,0.366101
"red",5,-1.298426,0.519281,1.976847,1.899480,2.438420,-1.070782,-0.398840,-0.553499,1.029942,-1.592286,1.383704,0.680445
"red",6,-1.298426,0.626630,-0.943668,0.928645,0.683031,-0.958995,0.475597,-0.711642,0.368426,-1.398944,1.204837,0.440380
"red",6,-1.298426,0.626630,0.414711,1.136681,0.759352,-1.014888,0.475597,-0.576091,-0.425393,-1.012262,-0.017425,0.297147
"red",6,-1.298426,0.653467,-0.468236,1.344717,0.454067,-0.903101,1.287575,-0.711642,0.765336,-1.346215,1.055780,0.565013
"red",4,-1.298426,0.787653,-1.622858,0.997990,0.148782,-1.350250,0.975276,-0.146845,-0.226938,-1.504403,1.473138,0.130435
"red",6,-1.298426,1.082862,-2.166210,0.772618,-0.003860,-0.903101,0.912816,-0.711642,0.302275,-1.346215,1.711628,0.432546
"red",5,-1.298426,1.109699,2.588118,0.928645,0.683031,-0.288271,-0.898519,-0.643866,-0.028483,0.253245,1.890496,0.001614
"red",5,-1.298426,3.256674,-1.554939,0.581918,0.072461,-1.126676,0.475597,-0.756826,0.236123,-0.449814,4.335018,0.159310
"red",6,-1.298426,4.222813,0.346792,3.178901,2.285777,1.388539,-0.273921,2.338262,1.559155,-0.344355,1.175025,0.515502
"red",5,-1.298426,9.804948,1.297658,1.171354,1.064637,-0.791314,-1.210818,-0.689050,4.205218,-0.924379,0.876913,0.536605
"red",4,-1.256328,0.680304,-0.807830,0.460564,-0.232824,-1.182569,1.037735,-0.711642,-0.689999,-1.609862,0.817290,0.723138
"red",6,-1.214230,-0.178486,0.143035,0.353079,1.293601,-1.462038,-0.648679,-0.824601,-0.359241,-1.838356,2.963701,0.236829
"red",4,-1.214230,0.036212,-1.962453,0.928645,0.530389,-1.462038,0.850356,-0.734234,-1.351515,-1.873509,3.232002,0.661667
"red",5,-1.214230,0.358258,-0.943668,0.859300,-0.080181,-0.958995,1.350035,-0.734234,0.434578,-1.311062,1.830873,0.012287
"red",5,-1.214230,0.411933,-0.671992,0.755281,0.683031,-1.070782,0.850356,-0.643866,0.103820,-1.293485,2.278042,0.121295
