Approval,Interest,Debt-to-Income Ratio_z,FICO Score_z,Request Amount_z,Combine,Approval3
"F",450.000000,-1.337481,-3.978398,-1.312487,-20.352614,"1 - Denied"
"F",225.000000,-1.337481,-3.891603,-1.365294,-20.076141,"1 - Denied"
"F",450.000000,-1.337481,-3.819275,-1.312487,-19.716124,"1 - Denied"
"F",900.000000,-1.337481,-3.819275,-1.206872,-19.583083,"1 - Denied"
"F",2250.000000,-1.337481,-3.775878,-0.890027,-19.077299,"1 - Denied"
"F",2250.000000,-1.337481,-3.746947,-0.890027,-18.961573,"1 - Denied"
"F",2700.000000,-1.337481,-3.703550,-0.784412,-18.699562,"1 - Denied"
"F",900.000000,-1.337481,-3.631221,-1.206872,-18.830868,"1 - Denied"
"F",5400.000000,-1.337481,-3.616756,-0.150721,-18.056094,"1 - Denied"
"F",4500.000000,-1.337481,-3.472099,-0.361951,-17.531612,"1 - Denied"
"F",2700.000000,-1.337481,-3.457633,-0.784412,-17.715896,"1 - Denied"
"F",450.000000,-1.337481,-3.443168,-1.312487,-18.211694,"1 - Denied"
"F",8550.000000,-1.337481,-3.443168,0.588584,-17.523598,"1 - Denied"
"F",1350.000000,-1.337481,-3.428702,-1.101257,-17.898903,"1 - Denied"
"F",2700.000000,-1.337481,-3.414236,-0.784412,-17.542308,"1 - Denied"
"F",2250.000000,-1.337481,-3.385305,-0.890027,-17.515006,"1 - Denied"
"F",450.000000,-1.337481,-3.370839,-1.312487,-17.922380,"1 - Denied"
"F",1350.000000,-1.337481,-3.356373,-1.101257,-17.609590,"1 - Denied"
"F",4500.000000,-1.337481,-3.356373,-0.361951,-17.068711,"1 - Denied"
"F",450.000000,-1.337481,-3.327442,-1.312487,-17.748792,"1 - Denied"
"F",900.000000,-1.337481,-3.255114,-1.206872,-17.326437,"1 - Denied"
"F",450.000000,-1.337481,-3.240648,-1.312487,-17.401616,"1 - Denied"
"F",2250.000000,-1.337481,-3.240648,-0.890027,-16.936378,"1 - Denied"
"F",3150.000000,-1.337481,-3.240648,-0.678797,-16.770687,"1 - Denied"
"F",900.000000,-1.337481,-3.226182,-1.206872,-17.210712,"1 - Denied"
"F",10800.000000,-1.337481,-3.211717,1.116660,-17.048044,"1 - Denied"
"F",225.000000,-1.337481,-3.197251,-1.365294,-17.298731,"1 - Denied"
"F",900.000000,-1.337481,-3.197251,-1.206872,-17.094986,"1 - Denied"
"F",450.000000,-1.337481,-3.182785,-1.312487,-17.170165,"1 - Denied"
"F",4050.000000,-1.337481,-3.182785,-0.467566,-16.418163,"1 - Denied"
"F",4050.000000,-1.337481,-3.168320,-0.467566,-16.360300,"1 - Denied"
"F",450.000000,-1.337481,-3.153854,-1.312487,-17.054439,"1 - Denied"
"F",1350.000000,-1.337481,-3.153854,-1.101257,-16.799512,"1 - Denied"
"F",1800.000000,-1.337481,-3.153854,-0.995642,-16.688780,"1 - Denied"
